circuitId,url_circuit
31,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Donington_circuit.svg/345px-Donington_circuit.svg.png
38,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brands_Hatch_2003.svg/300px-Brands_Hatch_2003.svg.png
58,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/330px-Circuit_Aintree.svg.png
19,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Indianapolis_IndycarGP.svg/270px-Indianapolis_IndycarGP.svg.png
33,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg/375px-Phoenix_Grand_Prix_Route_-_1991.svg.png
37,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Downtown_Detroit_Street_Circuit_%281982%29.svg/360px-Downtown_Detroit_Street_Circuit_%281982%29.svg.png
42,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Circuit_Fair_Park.svg/375px-Circuit_Fair_Park.svg.png
43,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Long_Beach_1978-1981.png/180px-Long_Beach_1978-1981.png
44,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Las_Vegas_Street_Circuit_2023.png/330px-Las_Vegas_Street_Circuit_2023.png
46,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Watkins_Glen_International_Track_Map.svg/375px-Watkins_Glen_International_Track_Map.svg.png
60,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Riverside_International_Raceway_1980_and_1967.svg/405px-Riverside_International_Raceway_1980_and_1967.svg.png
63,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sebring_International_Raceway.svg/413px-Sebring_International_Raceway.svg.png
69,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Austin_circuit.svg/375px-Austin_circuit.svg.png
72,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Circuit_New_Jersey.png/375px-Circuit_New_Jersey.png
79,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Hard_Rock_Stadium_Circuit_2022.png/450px-Hard_Rock_Stadium_Circuit_2022.png
74,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hanoi_Street_Circuit.png/525px-Hanoi_Street_Circuit.png
